Date,SHL_Close,USIR%,ANN_Close,CSL_Close,RMD_Close
1/07/2015,17.99715233,0.769408,20.57984161,81.31406403,7.145661354
2/07/2015,18.15139389,0.764175,20.94296837,82.51700592,7.048573017
3/07/2015,18.15139389,0.763884,20.43628311,80.93756104,7.019445896
6/07/2015,18.15139389,0.748447,20.38561821,79.84480286,7.029154301
7/07/2015,18.47610474,0.747882,20.81629562,81.72727966,7.194203854
8/07/2015,18.16762733,0.745823,20.61362076,81.34159851,7.378670216
9/07/2015,18.18386459,0.742225,20.97674751,81.222229,7.291292667
10/07/2015,18.15950775,0.746102,20.74028778,80.86410522,7.368962288
13/07/2015,18.31374931,0.742501,20.73184586,82.14051056,7.466050148
14/07/2015,18.70340157,0.739481,21.15408707,84.66579437,7.466050148
15/07/2015,19.15799713,0.744602,21.25542641,86.56665039,7.485467911
16/07/2015,18.23256874,0.737354,21.20475769,86.18096161,7.572846413
17/07/2015,17.74550247,0.74151,21.35676193,86.22687531,7.514594078
20/07/2015,17.25031471,0.73692,21.36520386,87.67777252,7.514594078
21/07/2015,17.44514275,0.73755,22.06611633,88.38485718,7.504885197
22/07/2015,17.00678062,0.742501,20.72340393,86.88805389,7.368962288
23/07/2015,16.99866295,0.737517,20.68117714,86.53908539,7.417506218
24/07/2015,16.7794857,0.735619,20.78251648,86.04322815,7.456341267
27/07/2015,16.73889732,0.72759,20.30116653,86.91558838,7.427215576
28/07/2015,16.57653809,0.72759,19.72692299,88.31138611,7.310709476
29/07/2015,16.69830513,0.7347,20.36872864,89.71634674,7.417506218
30/07/2015,16.60089684,0.729874,20.80784988,88.47666168,7.301001072
31/07/2015,16.7794857,0.729448,21.1625309,90.87341309,7.767022133
3/08/2015,16.80383873,0.72998,21.17097473,90.75403595,7.669935226
4/08/2015,16.93372154,0.72759,21.36520386,92.53548431,7.475759029
5/08/2015,17.19349098,0.737626,21.17941856,92.0212326,7.310709476
6/08/2015,16.90124702,0.735294,20.96830177,90.40507507,7.388380527
7/08/2015,16.58465767,0.734538,20.90074348,88.92664337,7.262166023
10/08/2015,16.80383873,0.740192,17.59885216,89.0276413,7.233039379
11/08/2015,16.39794731,0.7414,18.24064827,87.33800507,7.310709476
12/08/2015,16.85254097,0.731048,17.7086277,85.40042877,7.281582832
13/08/2015,16.62524986,0.738116,17.31593323,85.3269577,7.262166023
14/08/2015,16.43853378,0.737517,18.20745087,85.53816223,7.262166023
17/08/2015,16.34924126,0.73692,18.07886505,86.19934845,7.330127239
18/08/2015,16.06511879,0.737083,18.07029152,85.85037994,7.252456665
19/08/2015,16.72265816,0.733999,18.50747681,85.51979828,7.262166023
20/08/2015,16.92560196,0.735456,19.15040016,84.48214722,7.165078163
21/08/2015,16.55218506,0.73373,18.89322662,82.78329468,7.097116947
24/08/2015,16.27618027,0.725847,18.0274353,81.07530975,6.941775799
25/08/2015,16.6414814,0.717206,17.70168686,83.18736267,6.912650108
26/08/2015,16.43853378,0.71053,17.71025848,83.01289368,6.990320206
27/08/2015,16.81195831,0.712454,18.5331955,85.17086029,7.077699661
28/08/2015,16.91748619,0.717412,18.82464981,85.05148315,7.019445896
31/08/2015,16.82007027,0.714082,18.97037697,84.36277008,7.097116947
1/09/2015,16.38171196,0.710934,18.88466072,82.51700592,6.961193562
2/09/2015,16.37359047,0.700918,19.08181572,83.59140778,7.058280945
3/09/2015,16.0245285,0.704722,18.32746315,82.66392517,7.135951519
4/09/2015,16.4710083,0.701902,18.70463943,82.81086731,7.174786568
7/09/2015,16.43041992,0.693577,18.72178268,84.09078979,7.116533756
8/09/2015,16.38982773,0.694637,18.90179825,84.18354034,7.155368805
9/09/2015,16.31525421,0.703779,18.96180725,85.28733063,7.097116947
10/09/2015,16.06667328,0.696573,18.67892265,83.66412354,6.902941227
11/09/2015,15.89266396,0.707114,17.84741783,82.48615265,6.912650108
14/09/2015,15.83466339,0.709975,17.85598946,83.54353333,6.970901966
15/09/2015,15.61094093,0.716076,17.33307838,82.51397705,6.864106178
16/09/2015,15.70208645,0.712809,17.37594223,83.94238281,6.83497858
17/09/2015,15.78494549,0.719994,17.05876923,83.89600372,6.844687462
18/09/2015,15.95895481,0.718907,17.00733757,84.00730133,6.844687462
21/09/2015,15.81809139,0.719011,16.85303497,83.66412354,6.825270653
22/09/2015,15.9506712,0.713012,16.91303635,83.78469086,6.87381506
23/09/2015,15.78494549,0.707914,16.65587425,82.77368927,6.83497858
24/09/2015,15.87609482,0.699888,17.11019897,84.10005951,6.980611324
25/09/2015,15.67722893,0.701164,17.05876923,83.86817169,7.174786568
28/09/2015,15.74351883,0.702099,16.81874466,84.18354034,7.029154301
29/09/2015,15.08063412,0.697204,15.94437122,81.43803406,6.844687462
30/09/2015,15.12206078,0.700378,16.07295799,82.73657227,7.058280945
1/10/2015,15.2960701,0.701016,16.04724121,83.422966,7.126243591
2/10/2015,14.9231987,0.70368,15.8243618,82.12439728,7.097116947
5/10/2015,15.08891869,0.704821,16.03009987,83.66412354,7.155368805
6/10/2015,14.98948479,0.708818,15.77293015,83.49714661,7.21362114
7/10/2015,14.82376289,0.715922,15.8843708,83.6362915,7.145661354
8/10/2015,15.10549164,0.719476,15.72149944,84.35977936,7.233039379
9/10/2015,15.11377907,0.726744,15.78150368,84.59163666,7.242747784
12/10/2015,14.95633984,0.731475,16.03009987,82.47686768,7.184495449
13/10/2015,14.98120022,0.73443,15.87579536,83.04267883,7.203912258
14/10/2015,15.43693352,0.722282,16.44156456,82.78296661,7.368962288
15/10/2015,15.16349411,0.732011,16.56157684,82.54177856,7.446632385
16/10/2015,15.37064266,0.732923,16.88732338,82.82933807,7.504885197
19/10/2015,15.33750057,0.726005,16.81017494,82.27281189,7.582554817
20/10/2015,15.38721275,0.725637,17.11019897,83.48789978,7.611682892
21/10/2015,15.27950001,0.726744,17.16163826,83.03338623,7.475759029
22/10/2015,15.61094093,0.721553,16.99019051,83.66412354,7.514594078
23/10/2015,15.56122589,0.721188,16.88732338,83.84035492,7.543719769
26/10/2015,15.47836304,0.722387,16.87875175,84.28556824,7.563137531
27/10/2015,15.67722893,0.725111,17.00733757,85.7417984,7.572846413
28/10/2015,15.85952091,0.719269,17.13591766,86.54877472,7.708769321
29/10/2015,15.66065502,0.710076,16.93875504,86.20558167,7.776731491
30/10/2015,15.97552872,0.709019,17.24735641,86.99398041,7.805857182
2/11/2015,15.72694397,0.713725,16.87018013,85.61195374,7.834983349
3/11/2015,15.98381424,0.715922,16.92161369,87.37428284,7.902944088
4/11/2015,15.96724129,0.719114,16.94733047,87.02182007,7.893235207
5/11/2015,15.90924168,0.713878,16.8273201,87.35573578,7.922361851
6/11/2015,16.17439079,0.714796,16.91303635,88.41311646,7.912653923
9/11/2015,16.39811707,0.703878,16.96447182,88.5800705,7.951487541
10/11/2015,16.27382278,0.705119,16.99876404,88.16269684,7.951487541
11/11/2015,16.41468811,0.704672,17.2387867,89.13661194,7.94178009
12/11/2015,16.34839821,0.707114,17.6759758,89.13661194,7.922361851
